"","parameter","Sim1","Sim2","Sim3","Sim4","Sim5","Sim6","Sim7","Sim8","Sim9","Sim10","Sim11","Sim12"
"95","mp$data$k2Ages","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)"""
"96","mp$data$k2Index","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)""","""c(0,1)"""
"97","mp$data$minAge","2","2","2","2","2","2","2","2","2","2","2","2"
"98","mp$data$t1Ages","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)""","""c(1,1,1)"""
"99","mp$data$t1Index","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)""","""c(1,1)"""
"100","mp$data$t2Ages","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)""","""c(68,68,68)"""
"101","mp$data$t2Index","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)""","""c(68,68)"""
"102","mp$data$useAges","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)""","""c(1,2,3)"""
"103","mp$data$useIndex","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)""","""c(4,5)"""
"104","mp$hcr$binQuota","10","10","10","10","10","10","10","10","10","10","10","10"
"105","mp$hcr$catchFloor","0","0","0","0","0","0","0","0","0","0","0","0"
"106","mp$hcr$catchCeiling","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"107","mp$hcr$consTAC","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4"
"108","mp$hcr$ctlPtFreq","1","1","1","1","1","1","1","1","1","1","1","1"
"109","mp$hcr$Dec1a","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"110","mp$hcr$Dec1b","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025"
"111","mp$hcr$Dec2a","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025"
"112","mp$hcr$Dec2b","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"113","mp$hcr$Dec3a","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"114","mp$hcr$Dec3b","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
