ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
633.985,0.816883,0.384624,384.174,77.2907,0.285188,1.06675, 25.9465, 51.2694,0.767865,0.991435,12.7049,2.49562,0.195437,2.98628,0.323434,4.90906,0.506202,2.055,0.05,2.055,0.05,-660.297
711.655,0.632752,0.550268,422.494,203.133,0.26324,1.12355, 43.5473, 54.7518,0.716015,0.971447,20.3162,2.59231,0.205377,2.97612,0.306772,4.73217,0.435325,2.055,0.05,2.055,0.05,-637.377
629.603,0.703964,0.661789,359.69,162.411,0.354616,1.24339, 31.8853, 53.34,0.877378,0.999293,17.6618,2.60002,0.219974,2.95471,0.30296,4.92955,0.483535,2.055,0.05,2.055,0.05,-661.347
446.698,0.821463,0.571536,335.275,62.6597,0.31029,1.39021, 24.3379, 40.5117,0.931061,1.00528,16.8541,2.5542,0.208175,2.90079,0.306612,4.8922,0.508934,2.055,0.05,2.055,0.05,-642.568
521.922,0.685953,0.378948,334.71,48.9235,0.329295,1.4904, 33.2923, 50.2736,0.856993,1.00388,19.8516,2.66922,0.261246,2.96622,0.318248,4.83887,0.476728,2.055,0.05,2.055,0.05,-670.431
662.151,0.692499,0.491072,300.506,102.576,0.331296,1.30179, 40.0378, 71.1597,0.994937,1.00053,18.8484,2.63022,0.247251,2.90381,0.311276,4.70631,0.461441,2.055,0.05,2.055,0.05,-661.929
519.048,0.647655,0.594696,326.908,236.048,0.305653,1.01376, 25.2663, 46.9818,0.892668,1.01075,10.3745,2.80511,0.26701,2.93678,0.309474,4.62322,0.440048,2.055,0.05,2.055,0.05,-641.532
584.571,0.698891,0.363246,386.308,49.0745,0.332868,1.37196, 28.0981, 47.0376,0.810512,0.99375,13.8988,2.76716,0.267651,3.06797,0.334916,4.84946,0.491869,2.055,0.05,2.055,0.05,-678.085
532.973,0.728497,0.446559,360.569,70.4471,0.296982,1.57474, 34.0167, 46.7525,0.813907,1.01116,18.8173,2.44994,0.188198,2.98247,0.324813,4.90308,0.497328,2.055,0.05,2.055,0.05,-669.438
601.065,0.800981,0.443687,391.742,71.4933,0.328573,1.55274, 32.7146, 48.4479,0.774777,0.982524,21.2438,2.70355,0.251778,2.98169,0.317316,4.884,0.48732,2.055,0.05,2.055,0.05,-667.662
