ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1282.76,0.870814,0.344082,885.892,37.6505,0.276947,1.49003, 227.452, 134.619,1.25775,1.00645,110.393,2.63246,0.294008,2.87859,0.330426,4.65464,0.401091,2.055,0.05,2.055,0.05,-1309.06
1411.92,0.91855,0.293715,954.942,52.1511,0.241949,1.25858, 242.638, 135.274,1.22814,0.986499,100.717,2.58854,0.271729,2.92692,0.345538,4.63953,0.399845,2.055,0.05,2.055,0.05,-1283.44
1751.68,0.733091,0.307107,979.206,50.3919,0.31044,1.57644, 224.696, 158.91,1.17432,1.00204,82.9707,2.54536,0.262285,2.97533,0.361681,4.61582,0.387469,2.055,0.05,2.055,0.05,-1307.26
1965.7,0.679112,0.30568,933.547,55.1363,0.297417,1.20807, 222.854, 193.16,1.24902,1.01296,90.4103,2.67124,0.311011,2.8544,0.319774,4.66516,0.403251,2.055,0.05,2.055,0.05,-1307.4
2307,0.552935,0.494998,980.425,283.394,0.358533,1.21692, 183.182, 217.826,1.12517,1.00889,63.26,2.55094,0.269209,2.87713,0.33458,4.70209,0.414126,2.055,0.05,2.055,0.05,-1291.35
2037.86,0.629731,0.269187,841.714,38.279,0.240916,1.29879, 433.997, 229.861,1.30122,1.01127,118.244,2.62805,0.294282,2.93245,0.350596,4.62448,0.39131,2.055,0.05,2.055,0.05,-1302.41
1686.86,0.633556,0.328232,843.076,56.4042,0.247154,1.53429, 204.651, 191.676,1.31352,0.990551,125.413,2.6829,0.299285,2.92553,0.342001,4.7477,0.412636,2.055,0.05,2.055,0.05,-1291.95
1675.37,0.763327,0.32911,915.784,64.8854,0.211068,1.33827, 228.946, 173.717,1.20168,0.981431,91.7512,2.67385,0.300338,2.86428,0.320658,4.72494,0.406248,2.055,0.05,2.055,0.05,-1281.5
1762.52,0.703545,0.334805,947.862,114.557,0.27722,1.21848, 198.89, 172.939,1.18411,0.993831,78.5039,2.74504,0.323834,2.87929,0.331275,4.64254,0.386616,2.055,0.05,2.055,0.05,-1300.58
1313.01,0.804513,0.29073,911.051,76.9112,0.306259,1.52771, 179.282, 132.787,1.22972,0.988467,114.697,2.60293,0.269012,2.83091,0.314645,4.59943,0.387053,2.055,0.05,2.055,0.05,-1296.58
1398.1,0.763255,0.242709,895.361,57.0285,0.281453,1.31417, 218.095, 145.265,1.19862,1.00694,119.549,2.62035,0.295742,2.91572,0.341541,4.66331,0.396963,2.055,0.05,2.055,0.05,-1286.35
1265.79,0.783351,0.267865,968.974,90.8789,0.226135,1.60604, 165.005, 120.737,1.12217,1.01404,120.584,2.6405,0.291481,2.94177,0.350741,4.68334,0.400846,2.055,0.05,2.055,0.05,-1316.41
1582.87,0.625483,0.26068,997.842,67.5037,0.218808,1.29519, 282.18, 145.785,1.02675,0.996141,120.159,2.67684,0.314141,2.89621,0.342355,4.72707,0.418879,2.055,0.05,2.055,0.05,-1306.63
1770.37,0.648723,0.246641,1055.73,54.3005,0.221492,1.33043, 204.35, 148.269,1.00737,0.988975,109.026,2.69266,0.317531,2.87531,0.327313,4.73363,0.424715,2.055,0.05,2.055,0.05,-1297.62
1753.53,0.741245,0.309802,1172.88,157.339,0.210846,1.40636, 135.019, 131.819,0.89211,0.989277,75.3191,2.75132,0.32565,2.91467,0.336706,4.64276,0.396708,2.055,0.05,2.055,0.05,-1303.5
1914.24,0.774024,0.325064,1095.74,103.072,0.288103,1.4697, 142.014, 151.697,0.978699,0.999769,70.0583,2.68056,0.303594,2.90746,0.329815,4.73521,0.409333,2.055,0.05,2.055,0.05,-1281.64
1853.65,0.692234,0.327995,1041.79,101.263,0.288786,1.50343, 259.07, 174.864,0.917071,1.00228,134.515,2.67736,0.311229,2.92924,0.341816,4.67231,0.409019,2.055,0.05,2.055,0.05,-1309.32
1619.34,0.813716,0.311862,1156.35,122.141,0.248874,1.66639, 188.744, 129.557,0.884086,0.997197,100.774,2.68151,0.29785,2.91218,0.336648,4.68856,0.411101,2.055,0.05,2.055,0.05,-1308.36
1700.63,0.721039,0.534419,1112.65,150.101,0.244471,1.56316, 202.621, 139.813,0.952314,0.997578,93.9038,2.52126,0.245048,2.90568,0.333119,4.66169,0.39506,2.055,0.05,2.055,0.05,-1309.14
1455.59,0.809379,0.502928,1061.38,175.349,0.302282,1.66125, 201.568, 123.875,0.967393,1.0025,100.085,2.56047,0.258402,2.89973,0.338459,4.6388,0.395198,2.055,0.05,2.055,0.05,-1300.38
1442.14,0.811161,0.323109,1036.02,116.537,0.311602,1.58309, 198.375, 133.131,1.01972,0.998762,81.4461,2.5546,0.262604,2.89564,0.335672,4.60172,0.390062,2.055,0.05,2.055,0.05,-1318.66
1705.32,0.677626,0.431564,955.714,164.832,0.262155,1.44885, 128.422, 153.221,1.15641,0.997113,53.5974,2.64538,0.308684,2.85729,0.324606,4.68266,0.41542,2.055,0.05,2.055,0.05,-1311.94
1201.71,0.76038,0.427595,980.013,138.242,0.219594,1.64522, 109.862, 110.134,1.07612,0.996968,106.378,2.7053,0.325639,2.91038,0.343585,4.72169,0.413573,2.055,0.05,2.055,0.05,-1281.34
1467.88,0.808671,0.319753,939.373,44.4045,0.224387,1.24747, 196.896, 141.681,1.26914,0.998961,109.734,2.65908,0.300638,2.88331,0.325789,4.713,0.42122,2.055,0.05,2.055,0.05,-1294.98
1901.48,0.65934,0.448323,994.517,102.951,0.2744,1.29548, 197.217, 166.452,1.14902,0.993234,84.6272,2.62989,0.290408,2.86033,0.324029,4.66465,0.405787,2.055,0.05,2.055,0.05,-1288.47
1564.92,0.670572,0.611563,941.914,141.95,0.300677,1.29571, 309.633, 148.175,1.2166,0.978939,135.326,2.64953,0.286237,2.85963,0.322241,4.71374,0.415125,2.055,0.05,2.055,0.05,-1302.7
1605.95,0.629639,0.476935,975.174,169.865,0.271595,1.35079, 259.724, 142.503,1.14733,0.979583,139.464,2.68323,0.310027,2.89317,0.331298,4.68049,0.40784,2.055,0.05,2.055,0.05,-1312.64
1324.75,0.777185,0.457324,1025.3,105.314,0.264427,1.60519, 161.211, 115.651,1.0952,0.9836,159.933,2.5936,0.269167,2.91445,0.347332,4.63636,0.394724,2.055,0.05,2.055,0.05,-1282.17
