"R_1951","R_1952","R_1953","R_1954","R_1955","R_1956","R_1957","R_1958","R_1959","R_1960","R_1961","R_1962","R_1963","R_1964","R_1965","R_1966","R_1967","R_1968","R_1969","R_1970","R_1971","R_1972","R_1973","R_1974","R_1975","R_1976","R_1977","R_1978","R_1979","R_1980","R_1981","R_1982","R_1983","R_1984","R_1985","R_1986","R_1987","R_1988","R_1989","R_1990","R_1991","R_1992","R_1993","R_1994","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018"
292.652,392.835,906.133,612.887,560.922,831.883,545.427,874.747,657.282,491.965,881.409,534.315,987.442,325.746,127.851,267.631,1246.16,181.98,634.426,1145.09,636.55,606.656,641.991,909.695,340.942,278.799,491.028,148.39,365.829,394.823,232.566,186.893,374.99,1094.91,1029.21,361.708,1546.04,264.319,282.436,180.501,496.674,325.567,291.905,144.61,216.993,1063.01,356.502,212.658,268.915,313.335,469.386,594.91,298.147,347.367,271.651,442.983,157.621,214.726,114.219,307.436,65.2519,86.0328,198.863,186.48,686.992,123.658,140.783,351.923
315.373,199.792,648.303,238.937,267.134,469.748,343.672,713.768,752.936,319.283,709.596,251.968,814.908,256.178,83.9785,176.755,272.402,149.382,280.744,482.509,458.787,607.511,597.129,806.053,441.776,329.321,541.045,210.463,538.392,527.227,301.495,257.021,504.134,863.922,895.975,278.216,1391.62,265.031,290.198,187.475,426.755,302.129,257.952,127.353,181.657,929.775,295.409,221.138,220.088,376.656,543.263,416.992,388.476,333.108,303.299,570.808,181.198,298.235,184.965,282.034,93.2024,111.818,300.706,231.549,785.332,145.269,214.68,217.951
447.606,523.145,823.468,316.496,564.788,487.247,642.057,894.289,734.732,385.952,943.317,426.137,922.164,304.402,121.074,135.383,570.732,129.275,318.244,678.736,485.056,552.857,606.169,1022.72,388.252,282.802,515.642,195.139,552.037,419.363,328.904,327.231,625.707,1491.54,1306.2,399.199,1538.29,293.703,305.135,190.401,522.488,315.743,347.35,168.077,231.406,1106.87,448.662,214.318,241.104,378.775,460.428,447.208,219.768,195.772,162.071,258.3,148.162,248.044,173.57,333.624,88.9246,131.007,393.626,276.077,766.759,200.631,306.769,297.393
337.139,337.843,599.932,202.591,480.086,537.25,590.438,735.518,569.38,427.033,700.996,516.023,651.25,331.245,135.961,256.779,554.501,140.208,355.184,602.822,553.657,600.178,777.107,995.661,458.436,358.76,568.816,220.433,483.199,390.185,282.316,191.03,340.73,875.438,758.723,295.906,1087.32,239.335,259.157,172.417,551.265,373.873,245.356,154.224,212.606,1139.8,415.144,228.217,273.776,365.841,545.599,476.315,220.062,260.228,179.889,335.891,149.939,375.303,137.527,364.31,104.095,153.448,273.235,175.243,494.617,139.173,174.227,204.736
519.55,310.369,920.263,343.55,431.33,638.069,482.641,1039.18,582.482,432.544,889.226,423.353,698.612,306.599,92.3806,515.886,348.203,236.966,344.296,745.073,524.897,467.143,497.819,994.03,386.493,235.55,405.365,139.062,367.002,310.558,231.188,202.794,400.96,732.882,925.896,339.216,1288.11,274.726,281.77,204.079,564.35,394.785,273.902,132.805,255.1,991.138,341.376,161.109,199.76,311.206,351.873,366.946,163.356,165.492,129.308,181.832,95.2138,220.196,141.945,431.547,125.397,135.032,299.954,198.589,646.715,174.066,256.758,280.952
492.653,364.659,975.063,470.627,566.944,660.755,545.026,972.366,746.612,429.89,982.519,402.481,525.532,328.658,87.4549,237.042,364.265,192.025,360.921,594.118,568.124,556.079,691.091,1100.2,386.157,314.665,515.36,215.517,508.907,551.355,243.615,281.802,461.057,894.97,956.737,284.922,1228.75,242.029,269.293,231.333,555.061,495.017,339.808,193.47,256.841,1330.11,562.013,250.142,312.873,400.732,423.239,504.089,179.954,223.255,148.303,274.997,146.072,261.013,172.666,433.713,116.356,115.938,274.73,239.966,717.744,166.899,247.294,332.858
408.59,248.096,727.948,222.775,366.292,354.137,576.361,696.041,671.025,337.972,754.476,330.605,675.962,134.214,92.4144,424.139,111.531,151.932,427.988,680.339,710.175,687.866,874.344,1193.27,427.401,380.517,555.858,205.594,643.735,353.722,257.009,230.159,409.867,1208.44,1242.08,413.968,2251.03,327.115,391.895,233.459,550.166,281.872,214.648,119.304,185.307,902.669,439.591,234.976,341.067,439.198,655.486,568.206,261.109,226.666,130.349,161.303,90.9903,173.968,74.2488,277.904,70.3279,99.1876,259.334,252.954,880.515,136.212,218.342,274.739
436.848,444.516,688.768,382.189,424.645,662.392,324.201,918.837,736.427,482.926,1137.76,677.842,891.398,350.067,128.532,207.141,497.907,77.4138,408.729,771.603,557.129,652.349,635.439,970.069,504.302,401.465,677.4,224.847,662.123,467.037,277.486,266.3,405.161,1003.41,1034.28,329.563,1199.18,220.749,269.25,147.586,368.009,284.423,207.297,121.653,171.691,915.314,374.562,190.026,261.636,450.092,532.896,543.772,286.171,227.378,167.539,268.045,131.235,255.389,173.179,464.441,110.456,117.97,278.536,162.398,605.942,124.559,219.643,241.076
520.618,411.226,1074.09,368.668,729.863,483.139,320.216,929.247,569.708,365.731,557.535,328.393,559.872,290.711,86.9251,200.767,381.728,92.7815,255.365,495.095,398.79,503.949,502.958,806.225,383.655,267.612,473.466,140.305,480.398,328.138,202.594,218.551,313.319,743.604,905.234,315.088,1241.74,232.353,327.045,236.634,599.29,327.134,296.304,175.588,234.318,1009.89,446.849,192.112,320.953,437.07,449.499,502.043,219.639,196.845,154.023,240.349,125.643,322.014,163.18,542.369,209.144,183.889,522.363,267.154,841.173,104.827,159.09,454.382
453.111,621.427,767.184,358.792,673.739,511.124,471.695,961.768,537.299,329.774,726.857,357.077,602.489,261.377,124.11,309.089,408.093,35.4363,201.036,481.92,371.288,410.746,495.446,772.226,356.292,236.609,460.98,142.777,428.806,379.728,226.155,208.051,358.101,742.807,963.043,311.645,1215.91,209.559,232.837,145.381,512.997,335.673,273.633,161.91,248.953,1143.25,454.917,219.849,241.592,326.774,508.733,477.725,234.868,310.654,267.688,439.723,190.19,242.803,138.398,356.255,90.429,102.335,223.884,154.673,587.899,148.916,153.918,275.306
