B0 MSY Fmsy Bmsy BT projSpawnBio projExpBio depB0 depBmsy
84.6892 2.94023 0.0694359 42.3446 28.9242 29.9361 29.9361 0.348452 0.696904
81.886 2.89526 0.0707145 40.943 23.5312 24.2698 24.2698 0.286376 0.572753
84.9352 2.9532 0.06954 42.4676 28.2784 29.2689 29.2689 0.370536 0.741072
83.4376 2.85633 0.0684663 41.7188 22.5112 23.129 23.129 0.283604 0.567207
83.9618 2.90175 0.0691206 41.9809 19.834 20.2951 20.2951 0.22565 0.451299
81.367 2.86815 0.0704992 40.6835 4.30017 3.24141 3.24141 0.0434806 0.0869612
79.1291 2.88187 0.0728396 39.5645 0.331999 0.307421 0.307421 0.0033663 0.00673261
77.9193 2.87913 0.0739004 38.9596 0.335562 0.307874 0.307874 0.00410425 0.00820849
78.0104 2.89865 0.0743144 39.0052 0.334554 0.307791 0.307791 0.00392908 0.00785816
80.0455 2.89331 0.0722916 40.0227 0.329637 0.307133 0.307133 0.00335404 0.00670807
84.376 2.9002 0.0687445 42.188 9.07795 8.55876 8.55876 0.0916672 0.183334
83.5415 2.89042 0.0691972 41.7708 17.0902 17.3385 17.3385 0.223744 0.447488
86.2041 2.89497 0.0671655 43.102 17.5367 17.7802 17.7802 0.172218 0.344437
87.2564 2.95228 0.0676691 43.6282 16.2658 16.4238 16.4238 0.188795 0.37759
86.2518 3.05897 0.0709311 43.1259 7.79783 7.17102 7.17102 0.0927818 0.185564
83.2759 3.10536 0.0745801 41.6379 22.8335 23.6724 23.6724 0.251142 0.502285
83.0414 3.04342 0.073299 41.5207 10.8467 10.5961 10.5961 0.124933 0.249866
82.4118 3.11418 0.0755761 41.2059 0.341038 0.30858 0.30858 0.00353591 0.00707182
83.2622 3.16925 0.0761271 41.6311 0.344979 0.309048 0.309048 0.00342372 0.00684745
82.6176 3.19538 0.0773534 41.3088 0.323951 0.306828 0.306828 0.00370016 0.00740032
79.3372 3.19772 0.0806109 39.6686 5.33324 4.50225 4.50225 0.0552608 0.110522
80.4859 3.20933 0.0797489 40.2429 20.3102 21.0991 21.0991 0.256212 0.512425
81.3696 3.20279 0.078722 40.6848 23.0188 23.9847 23.9847 0.244359 0.488717
82.9469 3.16943 0.0764207 41.4734 26.0913 27.1917 27.1917 0.326492 0.652984
